Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
GTEX-1A8FM-0004_C40KK.1_1	4.144152973487181	50.0	76.0	10.0	3071152.0
GTEX-1A8FM-0004_C40KK.1_2	4.402733991513003	50.0	76.0	10.0	3071152.0
GTEX-1A8FM-0004_C40KK.2_1	3.8540734457724	50.0	76.0	10.0	3124540.0
GTEX-1A8FM-0004_C40KK.2_2	4.083474731100139	50.0	76.0	10.0	3124540.0
GTEX-1A8FM-0004_C40KK.3_1	3.618570075356544	50.0	76.0	10.0	3079885.0
GTEX-1A8FM-0004_C40KK.3_2	4.015451980944178	50.0	76.0	10.0	3079885.0
GTEX-1A8FM-0004_C40KK.4_1	3.558000827080903	50.0	76.0	10.0	3052438.0
GTEX-1A8FM-0004_C40KK.4_2	3.821819560964002	50.0	76.0	10.0	3052438.0
GTEX-1A8FM-0004_C40KK.5_1	3.455637729332068	50.0	76.0	10.0	3030383.0
GTEX-1A8FM-0004_C40KK.5_2	3.824461652084807	50.0	76.0	10.0	3030383.0
GTEX-1A8FM-0004_C40KK.6_1	3.5123408531234332	50.0	76.0	10.0	3021882.0
GTEX-1A8FM-0004_C40KK.6_2	3.9377293999570924	50.0	76.0	10.0	3021882.0
GTEX-1A8FM-0004_C40KK.7_1	3.5353941873922565	50.0	76.0	10.0	3053481.0
GTEX-1A8FM-0004_C40KK.7_2	4.012348771073334	50.0	76.0	10.0	3053481.0
GTEX-1A8FM-0004_C40KK.8_1	3.7585284597134603	50.0	76.0	10.0	3201124.0
GTEX-1A8FM-0004_C40KK.8_2	4.087306649631088	50.0	76.0	10.0	3201124.0
GTEX-1A8FM-0004_C4104.1_1	3.884479625479642	50.0	76.0	0.0	2493281.0
GTEX-1A8FM-0004_C4104.1_2	4.065367285250915	50.0	76.0	0.0	2493281.0
GTEX-1A8FM-0004_C4104.2_1	3.629173348963647	50.0	76.0	0.0	2389022.0
GTEX-1A8FM-0004_C4104.2_2	3.9074486843165914	50.0	76.0	0.0	2389022.0
GTEX-1A8FM-0004_C4104.3_1	3.7287415003085442	50.0	76.0	0.0	2431278.0
GTEX-1A8FM-0004_C4104.3_2	3.82167566916371	50.0	76.0	0.0	2431278.0
GTEX-1A8FM-0004_C4104.4_1	3.99727310309153	50.0	76.0	0.0	2680001.0
GTEX-1A8FM-0004_C4104.4_2	3.9785904376688137	50.0	76.0	0.0	2680001.0
GTEX-1A8FM-0004_C4104.5_1	3.7370308760707474	50.0	76.0	0.0	2405785.0
GTEX-1A8FM-0004_C4104.5_2	3.937917592209658	50.0	76.0	0.0	2405785.0
GTEX-1A8FM-0004_C4104.6_1	3.7091495893932205	50.0	76.0	0.0	2374698.0
GTEX-1A8FM-0004_C4104.6_2	3.7763174150941836	50.0	76.0	0.0	2374698.0
GTEX-1A8FM-0004_C4104.7_1	3.727893063744631	50.0	76.0	0.0	2351678.0
GTEX-1A8FM-0004_C4104.7_2	3.8264592074133503	50.0	76.0	0.0	2351678.0
