Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
GTEX-1A32A-0001_C40KK.2_1	GTEX-1A32A-0001_C40KK.2_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2728809.0	0.0	76.0	48.0	96.77583951782015	76.0	pass	fail	pass	pass	pass	pass	pass	pass	pass	pass
GTEX-1A32A-0001_C40KK.2_2	GTEX-1A32A-0001_C40KK.2_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2728809.0	0.0	76.0	48.0	96.54501250225914	76.0	pass	fail	pass	pass	pass	pass	pass	pass	pass	pass
GTEX-1A32A-0001_C40KK.3_1	GTEX-1A32A-0001_C40KK.3_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2635174.0	0.0	76.0	48.0	97.04177166700919	76.0	pass	fail	pass	pass	pass	pass	pass	pass	pass	pass
GTEX-1A32A-0001_C40KK.3_2	GTEX-1A32A-0001_C40KK.3_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2635174.0	0.0	76.0	48.0	96.58062118135568	76.0	pass	fail	pass	pass	pass	pass	pass	pass	pass	pass
GTEX-1A32A-0001_C40KK.4_1	GTEX-1A32A-0001_C40KK.4_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2617565.0	0.0	76.0	48.0	97.04815387002536	76.0	pass	fail	pass	pass	pass	pass	pass	pass	pass	pass
GTEX-1A32A-0001_C40KK.4_2	GTEX-1A32A-0001_C40KK.4_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2617565.0	0.0	76.0	48.0	96.63936583024469	76.0	pass	fail	pass	pass	pass	pass	pass	pass	pass	pass
GTEX-1A32A-0001_C40KK.5_1	GTEX-1A32A-0001_C40KK.5_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2590141.0	0.0	76.0	48.0	97.0468816261679	76.0	pass	fail	pass	pass	pass	pass	pass	pass	pass	pass
GTEX-1A32A-0001_C40KK.5_2	GTEX-1A32A-0001_C40KK.5_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2590141.0	0.0	76.0	48.0	96.70943098814286	76.0	pass	fail	pass	pass	pass	pass	pass	pass	pass	pass
GTEX-1A32A-0001_C40KK.6_1	GTEX-1A32A-0001_C40KK.6_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2614539.0	0.0	76.0	48.0	97.05982668840016	76.0	pass	fail	pass	pass	pass	pass	pass	pass	pass	pass
GTEX-1A32A-0001_C40KK.6_2	GTEX-1A32A-0001_C40KK.6_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2614539.0	0.0	76.0	48.0	96.65451325496949	76.0	pass	fail	pass	pass	pass	pass	pass	pass	pass	pass
GTEX-1A32A-0001_C40KK.7_1	GTEX-1A32A-0001_C40KK.7_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2633234.0	0.0	76.0	48.0	96.91909624845931	76.0	pass	fail	pass	pass	pass	pass	pass	pass	pass	pass
GTEX-1A32A-0001_C40KK.7_2	GTEX-1A32A-0001_C40KK.7_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2633234.0	0.0	76.0	48.0	96.54162294080848	76.0	pass	fail	pass	pass	pass	pass	pass	pass	pass	pass
GTEX-1A32A-0001_C40KK.8_1	GTEX-1A32A-0001_C40KK.8_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2724692.0	0.0	76.0	48.0	96.70467034130463	76.0	pass	fail	pass	pass	pass	pass	pass	pass	pass	pass
GTEX-1A32A-0001_C40KK.8_2	GTEX-1A32A-0001_C40KK.8_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2724692.0	0.0	76.0	48.0	96.43682223849125	76.0	pass	fail	pass	pass	pass	pass	pass	pass	pass	pass
