Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
GTEX-15ER7-0002_C4N20.2_trimmed_read2	GTEX-15ER7-0002_C4N20.2_trimmed_read2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2375485.0	0.0	10-76	49.0	96.50816281772661	73.58381972523506	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass
GTEX-15ER7-0002_C4N20.3_trimmed_read1	GTEX-15ER7-0002_C4N20.3_trimmed_read1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2372380.0	0.0	10-76	49.0	96.24233993092804	74.14920459622826	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass
GTEX-15ER7-0002_C4N20.3_trimmed_read2	GTEX-15ER7-0002_C4N20.3_trimmed_read2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2372380.0	0.0	10-76	49.0	96.39669993778777	73.6161643581551	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass
GTEX-15ER7-0002_C4N20.4_trimmed_read1	GTEX-15ER7-0002_C4N20.4_trimmed_read1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2408205.0	0.0	10-76	49.0	96.26867869894663	74.03674521064444	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass
GTEX-15ER7-0002_C4N20.4_trimmed_read2	GTEX-15ER7-0002_C4N20.4_trimmed_read2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2408205.0	0.0	10-76	49.0	96.408138704123	73.43893397779674	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass
GTEX-15ER7-0002_C4N20.5_trimmed_read1	GTEX-15ER7-0002_C4N20.5_trimmed_read1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2427353.0	0.0	10-76	49.0	96.12785292974766	74.1609794702295	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass
GTEX-15ER7-0002_C4N20.5_trimmed_read2	GTEX-15ER7-0002_C4N20.5_trimmed_read2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2427353.0	0.0	10-76	49.0	96.35316331938176	73.55263943892791	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass
GTEX-15ER7-0002_C4N20.6_trimmed_read1	GTEX-15ER7-0002_C4N20.6_trimmed_read1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2382104.0	0.0	10-76	49.0	96.2371052448932	74.18779784593788	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass
GTEX-15ER7-0002_C4N20.6_trimmed_read2	GTEX-15ER7-0002_C4N20.6_trimmed_read2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2382104.0	0.0	10-76	49.0	96.37692848768008	73.57299345452591	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass
GTEX-15ER7-0002_C4N20.7_trimmed_read1	GTEX-15ER7-0002_C4N20.7_trimmed_read1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2396395.0	0.0	10-76	49.0	96.1961140347499	74.1015533749653	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass
