Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
GTEX-11GSP-3026_C3728.6_1	GTEX-11GSP-3026_C3728.6_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2122863.0	0.0	76.0	49.0	78.76003205034276	76.0	pass	pass	pass	fail	pass	pass	pass	pass	pass	pass
GTEX-11GSP-3026_C3728.6_2	GTEX-11GSP-3026_C3728.6_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2122863.0	0.0	76.0	49.0	78.78632675071039	76.0	pass	pass	pass	fail	pass	pass	pass	pass	pass	pass
GTEX-11GSP-3026_C3728.7_1	GTEX-11GSP-3026_C3728.7_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2110413.0	0.0	76.0	49.0	78.87572160194163	76.0	pass	pass	pass	fail	pass	pass	pass	pass	pass	pass
GTEX-11GSP-3026_C3728.7_2	GTEX-11GSP-3026_C3728.7_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2110413.0	0.0	76.0	49.0	78.79809203579016	76.0	pass	pass	pass	fail	pass	pass	pass	pass	pass	pass
GTEX-11GSP-3026_C3728.8_1	GTEX-11GSP-3026_C3728.8_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2121294.0	0.0	76.0	49.0	78.7163309363203	76.0	pass	pass	pass	fail	pass	pass	pass	pass	pass	pass
GTEX-11GSP-3026_C3728.8_2	GTEX-11GSP-3026_C3728.8_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2121294.0	0.0	76.0	49.0	78.754885558537	76.0	pass	pass	pass	fail	pass	pass	pass	pass	pass	pass
GTEX-11GSP-3026_C37E7.1_1	GTEX-11GSP-3026_C37E7.1_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2243868.0	0.0	76.0	49.0	78.98774424886119	76.0	pass	pass	pass	fail	pass	pass	pass	pass	pass	pass
GTEX-11GSP-3026_C37E7.1_2	GTEX-11GSP-3026_C37E7.1_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2243868.0	0.0	76.0	49.0	79.07015126178607	76.0	pass	pass	pass	fail	pass	pass	pass	pass	pass	pass
GTEX-11GSP-3026_C37E7.2_1	GTEX-11GSP-3026_C37E7.2_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2236108.0	0.0	76.0	49.0	79.17856993764114	76.0	pass	pass	pass	fail	pass	pass	pass	pass	pass	pass
GTEX-11GSP-3026_C37E7.2_2	GTEX-11GSP-3026_C37E7.2_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2236108.0	0.0	76.0	49.0	78.84311820313283	76.0	pass	pass	pass	fail	pass	pass	pass	pass	pass	pass
GTEX-11GSP-3026_C37E7.3_1	GTEX-11GSP-3026_C37E7.3_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2216056.0	0.0	76.0	49.0	79.0956748273135	76.0	pass	pass	pass	fail	pass	pass	pass	pass	pass	pass
GTEX-11GSP-3026_C37E7.3_2	GTEX-11GSP-3026_C37E7.3_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2216056.0	0.0	76.0	49.0	78.96095785913128	76.0	pass	pass	pass	fail	pass	pass	pass	pass	pass	pass
GTEX-11GSP-3026_C37E7.4_1	GTEX-11GSP-3026_C37E7.4_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2203866.0	0.0	76.0	49.0	79.07439515588447	76.0	pass	pass	pass	fail	pass	pass	pass	pass	pass	pass
GTEX-11GSP-3026_C37E7.4_2	GTEX-11GSP-3026_C37E7.4_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2203866.0	0.0	76.0	49.0	78.8573331093174	76.0	pass	pass	pass	fail	pass	pass	pass	pass	pass	pass
GTEX-11GSP-3026_C37E7.5_1	GTEX-11GSP-3026_C37E7.5_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2211202.0	0.0	76.0	49.0	78.81373008773267	76.0	pass	pass	pass	fail	pass	pass	pass	pass	pass	pass
GTEX-11GSP-3026_C37E7.5_2	GTEX-11GSP-3026_C37E7.5_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2211202.0	0.0	76.0	49.0	78.82124998452979	76.0	pass	pass	pass	fail	pass	pass	pass	pass	pass	pass
GTEX-11GSP-3026_C37E7.6_1	GTEX-11GSP-3026_C37E7.6_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2239195.0	0.0	76.0	49.0	78.83858913158701	76.0	pass	pass	pass	fail	pass	pass	pass	pass	pass	pass
GTEX-11GSP-3026_C37E7.6_2	GTEX-11GSP-3026_C37E7.6_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2239195.0	0.0	76.0	49.0	78.75381852324782	76.0	pass	pass	pass	fail	pass	pass	pass	pass	pass	pass
GTEX-11GSP-3026_C37E7.7_1	GTEX-11GSP-3026_C37E7.7_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2244907.0	0.0	76.0	49.0	78.84805037386985	76.0	pass	pass	pass	fail	pass	pass	pass	pass	pass	pass
